Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES,NPI
c9429ebf-6e7e-32c9-9bfc-26974bfa8848,588f6ce6-b8db-3588-8189-29db2680a313,Terence292 Brakus656,M,GENERAL PRACTICE,461 WALNUT AVE,JAMAICA PLAIN,MA,021302331,42.311587599999996,-71.09800136347226,1669,0,9999973693
29e96fd9-d740-31e0-98a9-c1393d0d1506,b6398e07-4967-31a5-807f-380039a1f303,Shane235 Lueilwitz711,M,GENERAL PRACTICE,19 TACOMA ST,WORCESTER,MA,016053516,42.30230485,-71.76614692511056,430,0,9999977090
3fb2253f-b6e1-3f66-9793-9a740db88d20,faffaf6a-ee1a-3673-b0b0-421a9c249244,Jaunita130 Armstrong51,F,GENERAL PRACTICE,66 WASHINGTON ST,STOUGHTON,MA,020722571,42.14415820061801,-71.10378319512402,2127,0,9999949297
843be486-7d69-3f1a-8c19-aa40c9d393c4,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Jules135 Emard19,M,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,46,0,9999990390
30289f2c-a29d-3cde-a93d-201ca9747429,c241b977-4131-32e4-9957-e0a00b2a1e5f,Brittanie254 Krajcik437,F,GENERAL PRACTICE,94 MAIN STREET,HYANNIS,MA,026013146,41.6562802,-70.27448000204822,104,0,9999982199
04cbfd79-d5d3-3975-a34a-985768b16a31,d2284f74-b6da-3a15-9791-84cdf2db18fb,Fernande593 Mosciski958,F,GENERAL PRACTICE,331 E FALMOUTH HWY,E FALMOUTH,MA,025366039,41.57853245,-70.5617374807812,5063,0,9999962993
9603d134-37de-3142-9a2c-3554946cea47,03d0392a-7361-32b3-81c9-8c8ac985be00,Cameron381 Daniel959,F,GENERAL PRACTICE,280 WASHINGTON ST STE 204,BROOKLINE,MA,024451922,42.33302785,-71.1193506756953,1063,0,9999964197
c2e4c1bf-b367-38a3-8bc6-1aec6a8bb2c3,2f4e1b5e-e2ad-3081-80f5-4521124e9d28,Ike571 Daniel959,M,GENERAL PRACTICE,171 HIGHLAND ST APT 303,TAUNTON,MA,027804446,41.8946107,-71.11113,510,0,9999943290
8b2256f2-03a0-3d09-a2ba-7a98e8ebad09,2936ca90-6594-357d-be14-53fe0ab84dd1,Daniel959 Ankunding277,M,GENERAL PRACTICE,11 TREMONT ST,KINGSTON,MA,023641231,42.00823215,-70.72984043580247,7892,0,9999949792
94a0101e-117f-3ff2-b0cb-8ba94b97d3d9,e3089df2-a1db-372a-b660-30392d8c197b,Marylynn944 Waters156,F,GENERAL PRACTICE,178 N MAIN ST,SHARON,MA,020671229,42.13301625,-71.17263163492832,41,0,9999942391
