Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a35dfdc9-1d97-63e0-a0b6-3e97b6fd5fe1,1995-09-24,,999-47-1442,S99987167,X65734180X,Mr.,Joel444,Isaias604,Hand679,,,M,white,nonhispanic,M,North Brookfield  Massachusetts  US,370 Moore Flat,Boston,Massachusetts,Suffolk County,25025,02108,42.38455212619432,-71.06049007739105,14523.94,0.00,534421
552461fe-485c-659e-a02a-3f43b6f4d209,1947-03-16,,999-52-4441,S99947528,X16497252X,Mr.,Vincenzo126,Jeremy766,Morissette863,,,S,white,nonhispanic,M,Pittsfield  Massachusetts  US,844 Kihn Club,Sandwich,Massachusetts,Barnstable County,25001,02563,41.70453181762948,-70.51235491363884,20946.26,1498.48,65295
42616746-f8f2-a25b-c36e-668ff41528e9,2004-09-09,,999-39-1022,S99911515,X61864230X,Ms.,Latisha994,Jose871,Cummings51,,,,white,nonhispanic,F,Leominster  Massachusetts  US,506 Gibson Light Suite 31,Malden,Massachusetts,Middlesex County,25017,02155,42.43514274101065,-71.03229845044365,12478.62,0.00,35460
5c9f20d5-8361-b331-9267-5303ca5b136a,1969-12-10,,999-50-6764,S99981758,X48171219X,Mr.,Andrés117,Hernán834,Olivo261,,,S,white,hispanic,M,Caracas  Capital District  VE,1036 Hettinger Ville,Chicopee,Massachusetts,Hampden County,25013,01020,42.16251064874955,-72.54557988719839,18212.46,0.00,88407
96c54863-c359-ca32-7899-2fb31ab8ea65,1998-01-09,,999-90-4284,S99950865,X82789701X,Mrs.,Gertrudis163,Pat3,Trantow673,,D'Amore443,M,white,nonhispanic,F,Falmouth  Massachusetts  US,1098 Lowe Extension,Shrewsbury,Massachusetts,Worcester County,,00000,42.262220427002404,-71.75122375735494,13207.80,1316.14,503848
72b5373b-e9f1-db2d-6c43-4506fb4b3e3f,1962-03-21,,999-14-7567,S99956424,X43580131X,Mrs.,Marta91,,Ávalos396,,Aguilera202,W,white,hispanic,F,Tegucigalpa  Francisco Morazán  HN,991 Aufderhar Trailer,Lynn,Massachusetts,Essex County,25009,01901,42.42650323579352,-70.91792050617427,9400.00,13450.06,5779
eed8a921-eac8-0778-4113-255f4e35506a,1963-01-15,,999-86-5479,S99941306,X00528157X,Mrs.,Kimi714,Katerine813,Greenholt190,,Nienow652,M,black,nonhispanic,F,Marshfield  Massachusetts  US,413 Schiller Green Suite 85,Boston,Massachusetts,Suffolk County,25025,02134,42.394648625457,-71.08231961066721,18610.50,0.00,45680
f1f05592-2511-92df-6f3e-c64ac3152b26,1983-05-26,,999-41-7624,S99992465,X29674987X,Mrs.,Reva678,,Kilback373,,Weimann465,M,white,nonhispanic,F,Franklin  Massachusetts  US,170 Feil Trailer Suite 93,Middleborough,Massachusetts,Plymouth County,,00000,41.83211923086947,-70.88071630412034,16289.18,0.00,36592
3c4b499b-090b-c6fa-28d7-b56c6056d0a2,1946-07-15,,999-80-6276,S99964132,X82945453X,Ms.,Louie190,Danita413,Botsford977,,,S,white,nonhispanic,F,Brookline  Massachusetts  US,135 Tremblay Fort,South Yarmouth,Massachusetts,Barnstable County,25001,02664,41.70084416937746,-70.19108338111833,21054.54,1527.00,67198
c4d5d909-433c-fccf-5984-4213b88417cb,1978-06-01,,999-58-2866,S99936365,X23260490X,Mr.,Rudy520,Pasquale620,Rutherford999,,,M,black,nonhispanic,M,Framingham  Massachusetts  US,328 Kling Bridge,Whitman,Massachusetts,Plymouth County,,00000,42.09775492778911,-70.93081370113795,12456.80,1805.20,30100
288427c5-ee03-f47e-6872-def5772f427c,1956-08-27,,999-75-4596,S99941953,X85182493X,Mr.,Eloy929,,Adams676,,,M,white,hispanic,M,Randolph  Massachusetts  US,230 Jakubowski Byway Suite 37,Belmont,Massachusetts,Middlesex County,25017,02472,42.35812230248354,-71.1672974226439,22107.34,471.00,363895
7a58a941-bd27-086e-d622-38e5917d0df5,1957-03-14,,999-28-3841,S99989555,X61568786X,Mrs.,Elinore878,,Okuneva707,,Beatty507,M,white,nonhispanic,F,Melrose  Massachusetts  US,806 Koss Meadow Apt 46,Colrain,Massachusetts,Franklin County,,00000,42.695370799376896,-72.71211376066209,18431.00,471.00,36487
5393ea7f-1fea-4064-9df4-460a2f662d07,1974-05-18,,999-24-7706,S99972296,X58027779X,Mr.,Miguel815,,Bashirian201,,,M,white,nonhispanic,M,Methuen  Massachusetts  US,339 Stoltenberg Village,Dalton,Massachusetts,Berkshire County,,00000,42.4700163962609,-73.16577471299114,5500.00,9444.40,3229
595f9fb9-fcf0-e5bc-239a-e86a96db6211,1972-01-13,,999-58-2324,S99942923,X13894246X,Mr.,Lucius907,,Emard19,,,S,white,nonhispanic,M,Stoughton  Massachusetts  US,609 King Promenade Apt 41,Lowell,Massachusetts,Middlesex County,25017,01854,42.6251419384755,-71.33235620401317,6300.00,10964.12,3928
33627b4d-7b0d-6388-a832-f5fa07a9e8ef,1986-02-12,,999-52-1187,S99946039,X88835910X,Mr.,Fred155,Carmine137,Schuster709,,,M,black,nonhispanic,M,Haverhill  Massachusetts  US,555 Mertz Ferry Unit 44,Springfield,Massachusetts,Hampden County,25013,01105,42.184702408876994,-72.48591872732067,12607.06,0.00,66991
31b5fe0c-a493-9438-7ac6-b3c7cdd723c4,1975-12-29,,999-44-4295,S99931032,X79999089X,Ms.,Georgie506,Eugene421,Fay398,,,S,white,nonhispanic,F,Milford  Massachusetts  US,945 Nikolaus View Unit 7,Westford,Massachusetts,Middlesex County,,00000,42.60496480757186,-71.42394515202272,18621.54,0.00,69914
171a2edf-e42a-364e-6b06-0c17b5af82b5,1967-02-03,,999-20-8168,S99983596,X98042727X,Mr.,Rosario163,Weston546,Friesen796,,,M,black,nonhispanic,M,Kingston  Massachusetts  US,1029 Daugherty Ramp,Plymouth,Massachusetts,Plymouth County,25023,02360,41.85018426444588,-70.5845512421835,18883.58,0.00,106364
59d21b6d-ef06-1497-4b9c-19918733d3f6,1969-12-15,,999-59-8513,S99983472,X92313895X,Mrs.,Dallas143,Caryn49,Kuhlman484,,Weber641,M,asian,nonhispanic,F,Williamsburg  Massachusetts  US,556 Baumbach Port,Quincy,Massachusetts,Norfolk County,25021,02171,42.26815602951726,-71.06003049320992,15627.60,0.00,75773
1a4f7487-d2e6-408c-44a8-ca456c6e38bb,1974-04-14,,999-86-2106,S99934251,X02969629X,Mr.,Rodger755,,Cremin516,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,644 Schmitt Pathway Suite 10,Avon,Massachusetts,Norfolk County,,00000,42.11765090213507,-71.01839886273467,17256.74,0.00,47847
f1c177e7-2945-c20d-0d7f-673ce7ef53d0,1969-07-07,,999-78-5915,S99993946,X16601863X,Mrs.,Armandina361,Cami698,Reynolds644,MD,Oberbrunner298,M,white,nonhispanic,F,Boston  Massachusetts  US,247 Kunze Way,Taunton,Massachusetts,Bristol County,25005,02780,41.92160385767965,-71.0947491406927,18622.34,0.00,38068
b149bbe2-a604-d60b-ae87-22c88fe33bf6,1966-09-17,,999-95-2149,S99987511,X91020205X,Mrs.,Ruthann382,Hermine424,Fritsch593,,Feeney44,D,white,nonhispanic,F,West Tisbury  Massachusetts  US,675 Block Run Suite 84,Lawrence,Massachusetts,Essex County,25009,01841,42.75019540994276,-71.12659041099242,19577.54,0.00,48846
40e66c47-f6e8-c2e7-6be6-dbc4b4fabe8d,1946-06-29,,999-27-3818,S99996510,X55604012X,Mrs.,Carlota980,Pilar644,Adame662,,Verdugo724,D,white,hispanic,F,Caguas  Puerto Rico  PR,720 McCullough Avenue,Lawrence,Massachusetts,Essex County,25009,01843,42.72945575214989,-71.17711321925347,22972.10,1376.46,90106
0c1e1add-0fb2-9ad8-d9fb-22dd45ab41e3,1954-12-04,,999-62-7156,S99970126,X17544910X,Mrs.,Micah422,Tomoko463,Hilpert278,,Lebsack687,D,asian,nonhispanic,F,Hyderabad  Andhra Pradesh  IN,386 Bogisich Well Unit 3,Everett,Massachusetts,Middlesex County,25017,02148,42.4005429511292,-71.02174388787438,18061.26,1243.76,35382
b23188ac-9529-2450-e0b7-58adb2b38de6,1949-05-08,,999-56-3509,S99960994,X35183235X,Mrs.,Cathy455,,McDermott739,,Prohaska837,M,white,nonhispanic,F,Southborough  Massachusetts  US,924 Swift Path,West Springfield,Massachusetts,Hampden County,25013,01089,42.092754814713466,-72.67940031453888,23363.50,1399.64,45097
27f086db-83a1-15ce-2b44-0c6c29dbaf6a,1984-12-10,,999-21-2311,S99973355,X30987079X,Mr.,Marcellus830,,Crooks415,,,D,white,nonhispanic,M,Bridgewater  Massachusetts  US,521 Terry Rest,Billerica,Massachusetts,Middlesex County,,00000,42.56873306924834,-71.30785270390598,13170.80,0.00,156762
7ee37e08-323a-9da3-54a6-f9f98f704897,2001-08-04,,999-73-3926,S99921042,X52639189X,Mr.,Jimmie93,Michale231,Haag279,,,,white,nonhispanic,M,Framingham  Massachusetts  US,865 Erdman Flat,Boston,Massachusetts,Suffolk County,25025,02119,42.25649403299416,-71.14194857956656,13841.54,0.00,484516
1a4972ee-0166-fe57-b29d-5c39026f83b0,1983-06-15,,999-48-6275,S99983919,X94279970X,Mr.,Scotty190,Santiago500,Swaniawski813,,,D,asian,nonhispanic,M,Ho Chi Minh City  Gia Định  VN,378 Schmitt Corner Unit 27,Groton,Massachusetts,Middlesex County,25017,01450,42.62610510923631,-71.54056141456876,15197.98,0.00,55366
60b5cfed-26c3-727e-abc4-5becb36e3f75,1970-09-27,,999-96-2008,S99912237,X70322986X,Ms.,Gabriela205,Olivia294,Grijalva82,,,S,native,hispanic,F,Roseau  Saint George  DM,506 Ledner Promenade,Lynn,Massachusetts,Essex County,25009,01904,42.43727213578616,-71.00541539870267,15354.80,0.00,89243
110f43f1-8470-082d-3cb0-0951f5a68180,1972-01-15,,999-70-1345,S99948776,X89636176X,Mr.,Donnell534,,Grant908,,,D,white,nonhispanic,M,Wellesley  Massachusetts  US,968 Miller Run Apt 20,Somerville,Massachusetts,Middlesex County,25017,02144,42.350281230402054,-71.07957010143619,7350.00,11953.94,5321
976e3f24-1d50-efda-229a-1e6d1714f0cd,1965-01-22,,999-53-4027,S99957566,X96835628X,Mr.,Raymundo71,Sebastian508,Keebler762,,,M,white,nonhispanic,M,Framingham  Massachusetts  US,736 Wunsch Burg Suite 55,Boston,Massachusetts,Suffolk County,25025,02130,42.311021418952684,-71.16275742985204,21350.06,0.00,38346
fc35473b-5d19-5b79-2a70-68270e4c31ec,1999-07-27,,999-43-2743,S99953783,X91476171X,Ms.,Madlyn383,Sharda101,Rau926,,,,white,nonhispanic,F,Leominster  Massachusetts  US,474 Runolfsson Dale,Southampton,Massachusetts,Hampshire County,,00000,42.230967251213706,-72.71726271566676,13094.73,1292.41,116672
